Num.RBD,geometry,x,y,values
7785,POINT (172131.3671226155 5378510.918935445),172131.3671226155,5378510.918935445,-123858688.1911323
8401,POINT (222956.23279816774 4827964.967433222),222956.23279816774,4827964.967433222,-124905242.63892104
8407,POINT (223780.88581873325 4834868.994915463),223780.88581873325,4834868.994915463,-124862069.07897508
24204,POINT (215611.00027336355 4945163.00018739),215611.00027336355,4945163.00018739,-124606052.92564216
24213,POINT (212831.00028888835 4966458.000590012),212831.00028888835,4966458.000590012,-124580950.20169133
8314,POINT (203086.22011631186 5338311.535761301),203086.22011631186,5338311.535761301,-123423387.0393708
22092,POINT (201837.93524402345 5340191.6497795805),201837.93524402345,5340191.6497795805,-123440152.13519095
8321,POINT (198191.5402766479 5342691.238624958),198191.5402766479,5342691.238624958,-123499516.12983026
8312,POINT (202787.77661811525 5343551.097663477),202787.77661811525,5343551.097663477,-123410711.43557972
22100,POINT (196463.14284466743 5346760.015709042),196463.14284466743,5346760.015709042,-123517552.77352755
7698,POINT (196843.5890641868 5377776.867629765),196843.5890641868,5377776.867629765,-123402422.98362124
22083,POINT (197263.295254711 5241682.954761724),197263.295254711,5241682.954761724,-123873847.6801788
8300,POINT (194374.79044468934 5286129.968205651),194374.79044468934,5286129.968205651,-123770143.52181934
8301,POINT (193991.92478752322 5298922.862059016),193991.92478752322,5298922.862059016,-123732026.02818906
12193,POINT (190842.74733811914 5301368.828515036),190842.74733811914,5301368.828515036,-123782489.52147748
8309,POINT (187894.12759132794 5309012.417313098),187894.12759132794,5309012.417313098,-123810705.4117395
8307,POINT (191734.41641641036 5315805.414858073),191734.41641641036,5315805.414858073,-123714700.02844138
8308,POINT (195379.751747014 5318716.613770036),195379.751747014,5318716.613770036,-123636158.65726069
8313,POINT (194556.26471194555 5340805.3815570185),194556.26471194555,5340805.3815570185,-123573983.05178455
8319,POINT (195378.2151290932 5343442.927109635),195378.2151290932,5343442.927109635,-123549401.02692425
8326,POINT (188698.27872876578 5345084.123418585),188698.27872876578,5345084.123418585,-123668286.6411868
8315,POINT (185706.2484348318 5345953.788859243),185706.2484348318,5345953.788859243,-123721034.39095093
8324,POINT (184942.73458382115 5349480.3823403595),184942.73458382115,5349480.3823403595,-123722845.06784478
8311,POINT (183878.3224836096 5357324.461252747),183878.3224836096,5357324.461252747,-123715052.99440216
8318,POINT (184923.45480406127 5359443.0677037425),184923.45480406127,5359443.0677037425,-123688142.63341613
8317,POINT (185373.26540703693 5361027.100516792),185373.26540703693,5361027.100516792,-123674203.23348671
8310,POINT (191271.74330484984 5365685.6646504635),191271.74330484984,5365685.6646504635,-123548122.63790639
8320,POINT (194263.34164506558 5369716.491627419),194263.34164506558,5369716.491627419,-123478413.9408885
7654,POINT (192510.20421027433 5387463.974074376),192510.20421027433,5387463.974074376,-123449216.05201115
7677,POINT (191390.60333369666 5389338.898976003),191390.60333369666,5389338.898976003,-123463463.23558484
7670,POINT (188649.95376710664 5392881.645772764),188649.95376710664,5392881.645772764,-123501944.92441197
7656,POINT (174163.48123225302 5400180.993599534),174163.48123225302,5400180.993599534,-123744687.73576984
7665,POINT (178194.11112708866 5400427.372761644),178194.11112708866,5400427.372761644,-123669236.2594202
7633,POINT (173284.157193019 5401158.292155791),173284.157193019,5401158.292155791,-123757523.98530075
22543,POINT (172383.1448707133 5401314.3902529925),172383.1448707133,5401314.3902529925,-123773644.31444043
7628,POINT (171554.93481412606 5401370.96527192),171554.93481412606,5401370.96527192,-123788766.71769804
887040,POINT (171544.6775222841 5401372.075071142),171544.6775222841,5401372.075071142,-123788952.5630268
992054,POINT (171536.54923064995 5401393.79428334),171536.54923064995,5401393.79428334,-123789026.51907238
22306,POINT (171690.58968509466 5401406.856196415),171690.58968509466,5401406.856196415,-123786130.97901523
7636,POINT (172434.76487195777 5401457.244374928),172434.76487195777,5401457.244374928,-123772187.11004232
7625,POINT (171962.4983888063 5401451.489208651),171962.4983888063,5401451.489208651,-123780943.93616717
40316,POINT (174023.70878889476 5404010.355802679),174023.70878889476,5404010.355802679,-123733828.09707993
40285,POINT (172982.33194669482 5404240.452433241),172982.33194669482,5404240.452433241,-123752278.98653795
7681,POINT (180906.55407166545 5406305.528568964),180906.55407166545,5406305.528568964,-123598503.16717963
